,number,value,datetime_start,datetime_complete,duration,params_T,params_beta_1,params_beta_T,params_encoder_dim_con,params_encoder_dim_dis,params_lr_con,params_lr_dis,params_total_epochs_both,params_training_batch_size,state
0,0,-0.591055,2024-12-10 09:54:20.701814,2024-12-10 09:56:01.008607,0 days 00:01:40.306793,1400,0.0001171038614032751,0.013958086970916793,"64, 128","256, 512",4.500294590503423e-05,1.5833500575374844e-05,1500,576,COMPLETE
1,1,0.17685850000000003,2024-12-10 09:56:01.009381,2024-12-10 09:57:30.723279,0 days 00:01:29.713898,700,0.00010066614773593571,0.011524321794006032,"256, 512","128, 256",0.0001783770990691239,0.0008288783091172342,1300,640,COMPLETE
2,2,-0.09091950000000004,2024-12-10 09:57:30.724011,2024-12-10 10:03:33.058765,0 days 00:06:02.334754,1600,0.0007151343861235722,0.012342727727451392,"64, 128","128, 256",1.674282909254425e-05,0.00020286896190441447,800,128,COMPLETE
3,3,0.672304,2024-12-10 10:03:33.059514,2024-12-10 10:05:56.192876,0 days 00:02:23.133362,700,0.0008666418606559247,0.024737937767026652,"64, 128","128, 256",0.0007799774110722918,0.0007125065412132646,500,384,COMPLETE
4,4,0.15496599999999994,2024-12-10 10:05:56.193683,2024-12-10 10:07:30.833454,0 days 00:01:34.639771,1500,0.00023640401539726092,0.05583561319206362,"64, 128","128, 256",5.736558746825661e-05,0.00019939156124973277,1400,768,COMPLETE
5,5,0.18739499999999998,2024-12-10 10:07:30.834163,2024-12-10 10:10:34.839707,0 days 00:03:04.005544,1100,0.0006114489628596872,0.0476964443922528,"256, 512","64, 128",0.00040146131632484163,1.2245002114851153e-05,1500,256,COMPLETE
6,6,-0.3359780000000001,2024-12-10 10:10:34.840430,2024-12-10 10:13:21.968791,0 days 00:02:47.128361,700,0.0006802674795290595,0.018733982920161412,"256, 512","128, 256",0.00016950327386621683,0.0001514836128165903,900,192,COMPLETE
7,7,0.800442,2024-12-10 10:13:21.969504,2024-12-10 10:15:07.270233,0 days 00:01:45.300729,1000,0.0008738570394183959,0.04114261240386142,"256, 512","256, 512",3.141183843267647e-05,0.0006694409202724302,1500,768,COMPLETE
8,8,-0.503758,2024-12-10 10:15:07.270928,2024-12-10 10:16:28.453864,0 days 00:01:21.182936,1200,0.00037705541002244156,0.011326794978515355,"256, 512","256, 512",5.577685346020812e-05,1.0940616632809476e-05,1100,768,COMPLETE
9,9,-0.49157149999999994,2024-12-10 10:16:28.454585,2024-12-10 10:18:29.910682,0 days 00:02:01.456097,900,0.0002698259447985141,0.015517007920881985,"128, 256","64, 128",0.0003646847369334363,4.0631909267238344e-05,1800,512,COMPLETE
