,number,value,datetime_start,datetime_complete,duration,params_T,params_beta_1,params_beta_T,params_encoder_dim_con,params_encoder_dim_dis,params_lr_con,params_lr_dis,params_total_epochs_both,params_training_batch_size,state
0,0,0.6966465000000001,2024-12-16 17:10:55.962718,2024-12-16 17:16:42.227312,0 days 00:05:46.264594,900,0.00014704356176544029,0.013178418745851581,"256, 512","64, 128",0.000462537880266035,0.00025653228442037133,30000,448,COMPLETE
1,1,0.13983450000000008,2024-12-16 17:16:42.227908,2024-12-16 17:23:58.229785,0 days 00:07:16.001877,1200,0.0003956033045964189,0.08177991374457579,"128, 256","64, 128",0.000139505600425873,8.266046526451772e-05,10000,384,COMPLETE
2,2,0.6858785000000001,2024-12-16 17:23:58.230343,2024-12-16 17:30:39.546200,0 days 00:06:41.315857,700,0.00018093571446117164,0.016691293766706562,"256, 512","64, 128",2.3242600702819242e-05,0.0009675225169271984,30000,320,COMPLETE
3,3,0.16875649999999998,2024-12-16 17:30:39.546769,2024-12-16 17:41:22.639519,0 days 00:10:43.092750,500,0.0007601113999220856,0.032818391436159465,"128, 256","64, 128",0.00022081054512566178,4.1863347996525485e-05,10000,128,COMPLETE
4,4,-0.3254889999999999,2024-12-16 17:41:22.640169,2024-12-16 17:44:59.738388,0 days 00:03:37.098219,700,0.00013966944498735519,0.042932883817232585,"64, 128","64, 128",1.2319303888804903e-05,1.63910574060941e-05,40000,512,COMPLETE
5,5,0.7178545,2024-12-16 17:44:59.739348,2024-12-16 17:52:12.639708,0 days 00:07:12.900360,2000,0.00016822572613333877,0.058750984708293826,"256, 512","128, 256",1.9731624424023953e-05,2.3145759956042722e-05,30000,320,COMPLETE
6,6,0.8420695,2024-12-16 17:52:12.640241,2024-12-16 18:01:52.350976,0 days 00:09:39.710735,1600,0.0007732506399751242,0.0823371359371827,"256, 512","256, 512",1.4158422441996405e-05,2.451063009163011e-05,10000,128,COMPLETE
7,7,0.6542324999999999,2024-12-16 18:01:52.351565,2024-12-16 18:06:57.221619,0 days 00:05:04.870054,1400,0.000158301212097077,0.04570501510700079,"256, 512","128, 256",0.0009913181736953757,6.730243832686938e-05,30000,320,COMPLETE
8,8,1.047863,2024-12-16 18:06:57.222326,2024-12-16 18:19:18.437398,0 days 00:12:21.215072,1700,0.0002592093029045471,0.06867398371417127,"256, 512","64, 128",0.0003745780286932833,2.124425652702445e-05,30000,128,COMPLETE
9,9,0.45667749999999996,2024-12-16 18:19:18.437925,2024-12-16 18:31:10.585833,0 days 00:11:52.147908,1400,0.0003319654568435394,0.027701777380871664,"256, 512","128, 256",0.00020757093297570824,2.8330989106371014e-05,30000,192,COMPLETE
