,number,value,datetime_start,datetime_complete,duration,params_T,params_beta_1,params_beta_T,params_encoder_dim_con,params_encoder_dim_dis,params_lr_con,params_lr_dis,params_total_epochs_both,params_training_batch_size,state
0,0,1.2181760000000001,2024-12-19 14:01:44.647888,2024-12-19 14:21:14.555826,0 days 00:19:29.907938,800,0.00041430528763996817,0.005476271526240246,"128, 256","128, 256",0.0005419863147460882,7.392672531613977e-05,20000,256,COMPLETE
1,1,0.892599,2024-12-19 14:21:14.585521,2024-12-19 14:29:22.019669,0 days 00:08:07.434148,800,0.00011177399536351293,0.03724857879376466,"256, 512","256, 512",0.0001710455733781662,1.3953655028337255e-05,20000,256,COMPLETE
2,2,0.08688650000000009,2024-12-19 14:29:22.045105,2024-12-19 14:37:33.297492,0 days 00:08:11.252387,1200,0.00018034263183423083,0.09748165223605623,"256, 512","256, 512",0.00017161551678927507,1.8054658827803243e-05,20000,256,COMPLETE
3,3,0.8381034999999999,2024-12-19 14:37:33.326372,2024-12-19 14:46:25.439684,0 days 00:08:52.113312,800,0.00014154066180380168,0.01793525639765089,"256, 512","256, 512",0.00017289085396138184,2.510544154259209e-05,20000,256,COMPLETE
4,4,1.036443,2024-12-19 14:46:25.462725,2024-12-19 14:59:41.732654,0 days 00:13:16.269929,1000,0.00014458257554324236,0.011752416570785363,"256, 512","256, 512",0.00041625188579021496,1.5733832067435453e-05,30000,256,COMPLETE
5,5,0.8693685000000001,2024-12-19 14:59:41.754395,2024-12-19 15:09:20.406722,0 days 00:09:38.652327,1400,0.00015318485581129095,0.01235118982617311,"128, 256","256, 512",0.00034934016417243326,2.7020738024795566e-05,20000,256,COMPLETE
6,6,0.522799,2024-12-19 15:09:20.430896,2024-12-19 15:31:17.616587,0 days 00:21:57.185691,1200,0.0005688604590130512,0.06756569908985145,"128, 256","128, 256",0.0005512069158812799,8.540802123565774e-05,20000,128,COMPLETE
7,7,0.3988829999999999,2024-12-19 15:31:17.638212,2024-12-19 15:41:20.503116,0 days 00:10:02.864904,1400,0.0008301313872827725,0.03175257877499648,"256, 512","128, 256",0.0006684205122517444,1.3963375313816026e-05,30000,128,COMPLETE
8,8,0.17432999999999998,2024-12-19 15:41:20.526412,2024-12-19 15:49:54.495774,0 days 00:08:33.969362,1400,0.0004263586931777726,0.00722160461520236,"128, 256","256, 512",0.000235706830085111,9.342561369776842e-05,30000,256,COMPLETE
9,9,0.7086984999999999,2024-12-19 15:49:54.526269,2024-12-19 16:10:35.460214,0 days 00:20:40.933945,1600,0.0007341310811192232,0.009962321274993082,"256, 512","256, 512",0.0003928801654373,1.3596100976653154e-05,20000,128,COMPLETE
10,10,0.916971,2024-12-19 16:10:35.488945,2024-12-19 16:33:50.795737,0 days 00:23:15.306792,1000,0.0003023359484988747,0.005210914296132667,"128, 256","128, 256",0.0009818869586423018,5.31837686934627e-05,30000,128,COMPLETE
11,11,-0.4684085000000001,2024-12-19 16:33:50.817199,2024-12-19 16:39:50.216017,0 days 00:05:59.398818,1000,0.0002995680641894388,0.006046313636410508,"128, 256","128, 256",0.00010087784188165596,5.058440064227576e-05,30000,256,COMPLETE
12,12,0.788434,2024-12-19 16:39:50.247050,2024-12-19 16:47:32.211035,0 days 00:07:41.963985,1000,0.00023309427094123938,0.01303502968408646,"256, 512","128, 256",0.0005028933980426449,4.219819176418407e-05,30000,256,COMPLETE
13,13,0.6095870000000001,2024-12-19 16:47:32.233440,2024-12-19 16:59:51.879663,0 days 00:12:19.646223,800,0.00044063059638798355,0.008948258518601418,"128, 256","128, 256",0.000851647987540156,2.038247059436384e-05,30000,256,COMPLETE
14,14,1.2848925,2024-12-19 16:59:51.898165,2024-12-19 17:09:24.466944,0 days 00:09:32.568779,1000,0.00024440187092279205,0.021967566156266865,"256, 512","256, 512",0.0002797982277489947,3.576277648539712e-05,20000,256,COMPLETE
15,15,1.4639575,2024-12-19 17:09:24.498613,2024-12-19 17:23:03.435738,0 days 00:13:38.937125,800,0.00023844266365177061,0.021463801614095536,"128, 256","128, 256",0.00026791674950090095,7.140455342431985e-05,20000,256,COMPLETE
16,16,0.200982,2024-12-19 17:23:03.457918,2024-12-19 17:32:34.795284,0 days 00:09:31.337366,1000,0.00022201919131905083,0.023311278432040627,"128, 256","128, 256",0.0002741064570067839,3.691071072795914e-05,20000,256,COMPLETE
17,17,0.6940550000000001,2024-12-19 17:32:34.815656,2024-12-19 17:46:24.675694,0 days 00:13:49.860038,800,0.00022292125471981244,0.030720041584284322,"256, 512","256, 512",0.00022844341981662547,6.464314453781506e-05,20000,128,COMPLETE
18,18,0.35415699999999994,2024-12-19 17:46:24.695845,2024-12-19 17:55:22.530352,0 days 00:08:57.834507,1200,0.00010535179949832635,0.04716274462737391,"128, 256","256, 512",0.00011920894388826361,1.015418481632434e-05,20000,256,COMPLETE
19,19,0.7908994999999999,2024-12-19 17:55:22.556660,2024-12-19 18:07:19.203706,0 days 00:11:56.647046,1000,0.00026251034950381687,0.019139740625157144,"256, 512","128, 256",0.00029798196023501206,3.112875717600635e-05,20000,256,COMPLETE
20,20,1.1687085000000002,2024-12-19 18:07:19.221778,2024-12-19 18:20:01.431042,0 days 00:12:42.209264,1200,0.0003601000683798591,0.022419161749148826,"128, 256","128, 256",0.000232717743649399,5.606898758310469e-05,20000,128,COMPLETE
21,21,1.2948220000000001,2024-12-19 18:20:01.450284,2024-12-19 18:34:00.401504,0 days 00:13:58.951220,800,0.0003897330272644751,0.01596603141022939,"128, 256","128, 256",0.0004781866992461456,7.31904892126104e-05,20000,256,COMPLETE
22,22,0.8673475000000002,2024-12-19 18:34:00.426263,2024-12-19 18:40:38.452909,0 days 00:06:38.026646,800,0.0005498273041492484,0.01615150184757753,"128, 256","128, 256",0.00043070674214724307,7.22052996752381e-05,20000,256,COMPLETE
23,23,0.7334275,2024-12-19 18:40:38.484767,2024-12-19 18:52:54.313059,0 days 00:12:15.828292,800,0.00018397179524694255,0.025742061520635705,"128, 256","128, 256",0.0003232703432933598,4.230577434484666e-05,20000,256,COMPLETE
24,24,1.3803355000000002,2024-12-19 18:52:54.331566,2024-12-19 19:03:39.638006,0 days 00:10:45.306440,1000,0.0003563747527922096,0.047261641162179804,"128, 256","128, 256",0.0006995435270125881,9.730461987635515e-05,20000,256,COMPLETE
