,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discriminator_dim,params_embedding_dim,params_epochs,params_generator_dim,params_learning_rate,state
0,0,0.2231654999999998,2024-12-10 10:06:49.577326,2024-12-10 10:08:03.472185,0 days 00:01:13.894859,256,"128,256,128",320,1600,"128,128",3.549173470246189e-05,COMPLETE
1,1,0.04029400000000005,2024-12-10 10:08:03.472881,2024-12-10 10:11:08.097782,0 days 00:03:04.624901,96,"128,128",448,1200,"128,256,128",4.503315463731163e-05,COMPLETE
2,2,-0.22736050000000008,2024-12-10 10:11:08.098403,2024-12-10 10:14:17.156572,0 days 00:03:09.058169,96,"128,256,128",448,1200,"128,256,128",0.0003223187050877088,COMPLETE
3,3,0.5017985,2024-12-10 10:14:17.157196,2024-12-10 10:15:24.876018,0 days 00:01:07.718822,96,"256,256",512,400,"128,128",0.003545547050222574,COMPLETE
4,4,-0.008946499999999968,2024-12-10 10:15:24.876639,2024-12-10 10:18:32.524928,0 days 00:03:07.648289,128,"128,256,128",192,1600,"256,256",0.0001748959136833693,COMPLETE
5,5,0.598036,2024-12-10 10:18:32.525565,2024-12-10 10:25:17.929081,0 days 00:06:45.403516,64,"128,128",448,2000,"128,128",1.0731220340632319e-05,COMPLETE
6,6,0.442824,2024-12-10 10:25:17.929766,2024-12-10 10:26:46.697361,0 days 00:01:28.767595,256,"256,256",128,2000,"128,256,128",0.006536725524436609,COMPLETE
7,7,0.6938705000000001,2024-12-10 10:26:46.698048,2024-12-10 10:27:57.023318,0 days 00:01:10.325270,96,"128,128",320,400,"128,256,128",7.408633475281831e-05,COMPLETE
8,8,0.46471799999999996,2024-12-10 10:27:57.023933,2024-12-10 10:34:23.348121,0 days 00:06:26.324188,64,"128,128",320,1800,"128,128",9.296178169701836e-05,COMPLETE
9,9,0.23345100000000008,2024-12-10 10:34:23.348795,2024-12-10 10:35:50.095310,0 days 00:01:26.746515,224,"256,256",320,1200,"256,256",0.005478187064834765,COMPLETE
10,10,0.5741485,2024-12-10 10:35:50.095952,2024-12-10 10:36:36.763222,0 days 00:00:46.667270,192,"128,128",192,200,"128,256,128",0.0006071502959990307,COMPLETE
11,11,0.658721,2024-12-10 10:36:36.763998,2024-12-10 10:39:38.115398,0 days 00:03:01.351400,64,"128,128",384,600,"128,128",1.0161699016726502e-05,COMPLETE
12,12,-1.6513459999999998,2024-12-10 10:39:38.116999,2024-12-10 10:41:10.551734,0 days 00:01:32.434735,160,"128,128",384,600,"128,256,128",1.00364869588475e-05,COMPLETE
13,13,0.6424015000000001,2024-12-10 10:41:10.552308,2024-12-10 10:43:28.010021,0 days 00:02:17.457713,128,"128,128",256,800,"128,128",3.3892542341156746e-05,COMPLETE
14,14,0.7010389999999999,2024-12-10 10:43:28.010556,2024-12-10 10:47:41.969687,0 days 00:04:13.959131,64,"128,128",384,800,"256,256",0.0009280729526350222,COMPLETE
