,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discriminator_dim,params_embedding_dim,params_epochs,params_generator_dim,params_learning_rate,state
0,0,-0.22837400000000008,2024-12-16 12:00:17.022639,2024-12-16 12:01:38.295073,0 days 00:01:21.272434,224,"256,256",192,1400,"128,128",0.0005265935215957485,COMPLETE
1,1,0.05589049999999984,2024-12-16 12:01:38.295635,2024-12-16 12:03:50.024964,0 days 00:02:11.729329,192,"256,256",384,1400,"256,256",0.00229296091393163,COMPLETE
2,2,0.11500600000000005,2024-12-16 12:03:50.025461,2024-12-16 12:06:58.944015,0 days 00:03:08.918554,64,"128,128",256,800,"256,256",0.0016587384595150778,COMPLETE
3,3,0.21688399999999997,2024-12-16 12:06:58.944580,2024-12-16 12:10:40.520283,0 days 00:03:41.575703,96,"128,256,128",192,1400,"256,256",0.0008957231517020436,COMPLETE
4,4,0.510432,2024-12-16 12:10:40.520825,2024-12-16 12:12:04.183556,0 days 00:01:23.662731,256,"256,256",320,1400,"128,128",0.00010486914871258416,COMPLETE
5,5,0.1586105,2024-12-16 12:12:04.184057,2024-12-16 12:12:43.455349,0 days 00:00:39.271292,224,"128,256,128",256,200,"256,256",0.005008438459243703,COMPLETE
6,6,0.6253595000000001,2024-12-16 12:12:43.455898,2024-12-16 12:16:57.954245,0 days 00:04:14.498347,96,"128,128",320,1600,"128,256,128",2.5154490385500256e-05,COMPLETE
7,7,-0.10058349999999994,2024-12-16 12:16:57.954732,2024-12-16 12:17:52.582907,0 days 00:00:54.628175,256,"256,256",512,600,"256,256",0.0013989908597537156,COMPLETE
8,8,0.5036290000000001,2024-12-16 12:17:52.583355,2024-12-16 12:19:40.252322,0 days 00:01:47.668967,96,"128,128",256,600,"128,128",6.584929173533938e-05,COMPLETE
9,9,-1.081131,2024-12-16 12:19:40.252821,2024-12-16 12:20:54.160341,0 days 00:01:13.907520,64,"128,256,128",448,200,"128,256,128",2.7004105857222193e-05,COMPLETE
10,10,0.157574,2024-12-16 12:20:54.160968,2024-12-16 12:24:53.771276,0 days 00:03:59.610308,128,"128,128",128,2000,"128,256,128",1.0125984139450008e-05,COMPLETE
11,11,-0.2768004999999998,2024-12-16 12:24:53.772136,2024-12-16 12:27:37.168898,0 days 00:02:43.396762,160,"256,256",384,2000,"128,128",0.00012552458177547983,COMPLETE
12,12,0.12824899999999995,2024-12-16 12:27:37.169396,2024-12-16 12:30:05.679860,0 days 00:02:28.510464,160,"128,128",320,1600,"128,256,128",0.0001571790588431543,COMPLETE
13,13,0.4975895,2024-12-16 12:30:05.680667,2024-12-16 12:31:18.749049,0 days 00:01:13.068382,256,"256,256",384,1000,"128,256,128",2.3370362061882447e-05,COMPLETE
14,14,0.6102575,2024-12-16 12:31:18.749584,2024-12-16 12:34:45.954949,0 days 00:03:27.205365,128,"128,128",320,1800,"128,128",5.9919511975410444e-05,COMPLETE
15,15,0.25298949999999987,2024-12-16 12:34:45.955624,2024-12-16 12:38:45.781869,0 days 00:03:59.826245,128,"128,128",448,1800,"128,256,128",3.782594082512509e-05,COMPLETE
16,16,0.4962105,2024-12-16 12:38:45.782354,2024-12-16 12:42:30.981417,0 days 00:03:45.199063,128,"128,128",320,1800,"128,128",0.0002673852779656853,COMPLETE
17,17,-0.7605230000000001,2024-12-16 12:42:30.981915,2024-12-16 12:46:40.924132,0 days 00:04:09.942217,96,"128,128",192,1600,"128,256,128",1.0708611465913245e-05,COMPLETE
18,18,0.5629209999999999,2024-12-16 12:46:40.924635,2024-12-16 12:50:07.604077,0 days 00:03:26.679442,128,"128,128",320,1800,"128,128",5.344083798520713e-05,COMPLETE
19,19,0.40580249999999995,2024-12-16 12:50:07.604820,2024-12-16 12:52:05.195452,0 days 00:01:57.590632,160,"128,128",448,1200,"128,256,128",2.095887030787494e-05,COMPLETE
20,20,0.4224119999999999,2024-12-16 12:52:05.196004,2024-12-16 12:57:37.103968,0 days 00:05:31.907964,64,"128,128",256,1600,"128,128",0.0003114965742760864,COMPLETE
21,21,0.15128549999999996,2024-12-16 12:57:37.104473,2024-12-16 13:01:03.617418,0 days 00:03:26.512945,128,"128,128",384,1800,"128,128",5.655330679539035e-05,COMPLETE
22,22,0.3655219999999999,2024-12-16 13:01:03.617943,2024-12-16 13:06:02.069639,0 days 00:04:58.451696,96,"128,128",320,2000,"128,128",5.994151745264977e-05,COMPLETE
23,23,0.326122,2024-12-16 13:06:02.070300,2024-12-16 13:08:41.758983,0 days 00:02:39.688683,160,"128,128",320,1800,"128,128",1.81965499942363e-05,COMPLETE
24,24,0.23370999999999997,2024-12-16 13:08:41.759493,2024-12-16 13:11:16.578843,0 days 00:02:34.819350,128,"128,128",320,1200,"128,128",0.00017628909897034187,COMPLETE
