,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_updates_per_g,params_gp_weight,params_lr,params_num_epochs,state
0,0,-0.9792410000000003,2024-12-12 17:00:11.259795,2024-12-12 17:11:20.320390,0 days 00:11:09.060595,128,2,13.0,0.0005452669628163662,3200,COMPLETE
1,1,0.9346005,2024-12-12 17:11:20.321207,2024-12-12 17:27:09.832555,0 days 00:15:49.511348,96,5,18.0,5.8109045567065185e-05,4400,COMPLETE
2,2,-0.05669100000000005,2024-12-12 17:27:09.833342,2024-12-12 17:33:52.722508,0 days 00:06:42.889166,80,3,17.0,0.00027550080477052163,1400,COMPLETE
3,3,0.21919,2024-12-12 17:33:52.722965,2024-12-12 18:47:51.274285,0 days 01:13:58.551320,32,4,11.0,0.0002716229753579632,8400,COMPLETE
4,4,-0.0377559999999999,2024-12-12 18:47:51.274826,2024-12-12 19:08:27.531432,0 days 00:20:36.256606,128,5,10.0,0.006117010940941256,7000,COMPLETE
5,5,0.9678845,2024-12-12 19:08:27.531987,2024-12-12 20:10:38.679783,0 days 01:02:11.147796,128,1,16.0,2.5664075610027774e-05,17700,COMPLETE
6,6,-0.41001200000000004,2024-12-12 20:10:38.680605,2024-12-12 22:09:52.755679,0 days 01:59:14.075074,48,1,19.0,0.00019405857006829378,16500,COMPLETE
7,7,1.2940489999999998,2024-12-12 22:09:52.756856,2024-12-12 22:36:59.273544,0 days 00:27:06.516688,128,2,8.0,1.717929214453933e-05,11200,COMPLETE
8,8,0.681359,2024-12-12 22:36:59.274001,2024-12-12 23:04:40.151314,0 days 00:27:40.877313,96,5,19.0,0.0001221603469762477,11000,COMPLETE
9,9,-0.7675350000000001,2024-12-12 23:04:40.151834,2024-12-12 23:48:36.292187,0 days 00:43:56.140353,128,3,8.0,1.574137149844562e-05,17600,COMPLETE
10,10,0.830071,2024-12-12 23:48:36.292919,2024-12-13 00:42:40.799763,0 days 00:54:04.506844,64,2,2.0,0.0014886470002840688,12900,COMPLETE
11,11,0.9037355,2024-12-13 00:42:40.800485,2024-12-13 01:44:42.095289,0 days 01:02:01.294804,112,1,4.0,1.2247869054006836e-05,20000,COMPLETE
12,12,0.7637555,2024-12-13 01:44:42.095787,2024-12-13 02:20:02.413424,0 days 00:35:20.317637,112,2,15.0,3.8978963142942915e-05,14100,COMPLETE
13,13,1.001696,2024-12-13 02:20:02.414551,2024-12-13 03:04:23.695108,0 days 00:44:21.280557,112,1,7.0,3.4003415828854056e-05,14900,COMPLETE
14,14,0.9296985,2024-12-13 03:04:23.695830,2024-12-13 03:46:15.503941,0 days 00:41:51.808111,96,2,6.0,7.096913853309215e-05,13400,COMPLETE
15,15,1.015634,2024-12-13 03:46:15.504488,2024-12-13 04:18:00.618327,0 days 00:31:45.113839,112,1,7.0,1.1907744807702426e-05,10400,COMPLETE
16,16,-0.4656134999999999,2024-12-13 04:18:00.618824,2024-12-13 04:53:24.581260,0 days 00:35:23.962436,80,2,1.0,1.000768125192181e-05,9800,COMPLETE
17,17,0.44163849999999993,2024-12-13 04:53:24.581735,2024-12-13 05:09:18.340260,0 days 00:15:53.758525,112,3,5.0,0.0007311093540722585,6300,COMPLETE
18,18,0.4867349999999999,2024-12-13 05:09:18.340813,2024-12-13 05:40:21.640773,0 days 00:31:03.299960,96,4,9.0,8.878422666301119e-05,10800,COMPLETE
19,19,0.5590665,2024-12-13 05:40:21.641658,2024-12-13 06:36:28.990362,0 days 00:56:07.348704,64,1,12.0,2.0720390381211513e-05,11600,COMPLETE
20,20,-0.031161999999999912,2024-12-13 06:36:28.990837,2024-12-13 06:56:36.210716,0 days 00:20:07.219879,112,2,3.0,0.0037164217448227847,8100,COMPLETE
21,21,0.14354650000000002,2024-12-13 06:56:36.211190,2024-12-13 07:42:10.419545,0 days 00:45:34.208355,112,1,8.0,3.6239138172429556e-05,15000,COMPLETE
22,22,0.950693,2024-12-13 07:42:10.420273,2024-12-13 08:30:33.226626,0 days 00:48:22.806353,128,1,6.0,2.6429079995880383e-05,15600,COMPLETE
23,23,0.7209225,2024-12-13 08:30:33.228218,2024-12-13 09:09:08.459027,0 days 00:38:35.230809,112,1,7.0,4.580564651795674e-05,12400,COMPLETE
24,24,-0.827016,2024-12-13 09:09:08.459505,2024-12-13 09:38:36.259567,0 days 00:29:27.800062,96,2,10.0,1.0561906922603327e-05,9100,COMPLETE
