,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_updates_per_g,params_gp_weight,params_lr,params_num_epochs,state
0,0,0.16501300000000008,2024-12-17 13:30:34.718583,2024-12-17 13:34:28.594404,0 days 00:03:53.875821,128,5,7.0,0.0019198625644448585,1300,COMPLETE
1,1,0.37644350000000015,2024-12-17 13:34:28.594938,2024-12-17 14:51:43.289414,0 days 01:17:14.694476,48,1,14.0,0.004083364582692655,10200,COMPLETE
2,2,0.44072749999999994,2024-12-17 14:51:43.289919,2024-12-17 16:09:13.787495,0 days 01:17:30.497576,80,4,1.0,0.0009899512434421109,19100,COMPLETE
3,3,0.583526,2024-12-17 16:09:13.788375,2024-12-17 16:56:12.045290,0 days 00:46:58.256915,48,1,13.0,0.0032766683688676074,6200,COMPLETE
4,4,0.564299,2024-12-17 16:56:12.045789,2024-12-17 17:42:11.315135,0 days 00:45:59.269346,64,3,11.0,1.4795204565370848e-05,9700,COMPLETE
5,5,0.21433299999999988,2024-12-17 17:42:11.315605,2024-12-17 17:54:18.603110,0 days 00:12:07.287505,128,5,10.0,0.005355930524959724,4300,COMPLETE
6,6,0.8345325000000001,2024-12-17 17:54:18.603640,2024-12-17 18:21:55.461376,0 days 00:27:36.857736,80,2,1.0,0.00029592260040048123,6000,COMPLETE
7,7,0.929864,2024-12-17 18:21:55.462009,2024-12-17 19:45:48.482076,0 days 01:23:53.020067,80,3,14.0,0.00015457984556308568,19700,COMPLETE
8,8,0.6899195,2024-12-17 19:45:48.482830,2024-12-17 20:46:35.897937,0 days 01:00:47.415107,80,2,17.0,1.850632167242122e-05,13300,COMPLETE
9,9,0.5087855000000001,2024-12-17 20:46:35.898532,2024-12-17 22:42:06.713427,0 days 01:55:30.814895,48,1,16.0,1.2074897951571364e-05,15100,COMPLETE
10,10,0.7437805000000001,2024-12-17 22:42:06.713906,2024-12-17 23:41:17.813040,0 days 00:59:11.099134,112,3,20.0,0.00012108311529294695,20000,COMPLETE
11,11,0.7698790000000001,2024-12-17 23:41:17.813527,2024-12-18 00:06:26.900712,0 days 00:25:09.087185,96,2,2.0,0.00018112680198207842,6600,COMPLETE
12,12,-0.047202500000000036,2024-12-18 00:06:26.901228,2024-12-18 01:00:13.822615,0 days 00:53:46.921387,96,2,7.0,0.000518216820144504,14300,COMPLETE
13,13,0.12657049999999992,2024-12-18 01:00:13.823112,2024-12-18 02:16:53.678023,0 days 01:16:39.854911,64,4,6.0,7.535578688317144e-05,16900,COMPLETE
14,14,0.795428,2024-12-18 02:16:53.678772,2024-12-18 02:45:03.920034,0 days 00:28:10.241262,96,3,4.0,4.6490551209919685e-05,8200,COMPLETE
15,15,-1.8666235,2024-12-18 02:45:03.920518,2024-12-18 03:07:39.010746,0 days 00:22:35.090228,32,4,10.0,0.0003856596096058503,2900,COMPLETE
16,16,1.2686600000000001,2024-12-18 03:07:39.011264,2024-12-18 04:07:19.914170,0 days 00:59:40.902906,64,2,17.0,0.00028874189076373146,12200,COMPLETE
17,17,-0.14835149999999975,2024-12-18 04:07:19.914730,2024-12-18 05:08:01.372019,0 days 01:00:41.457289,64,2,20.0,4.404083542849866e-05,12500,COMPLETE
18,18,0.576649,2024-12-18 05:08:01.372495,2024-12-18 07:26:32.810632,0 days 02:18:31.438137,32,3,17.0,0.0008920219943368481,17000,COMPLETE
19,19,-0.33721899999999994,2024-12-18 07:26:32.811177,2024-12-18 08:22:47.627531,0 days 00:56:14.816354,64,3,14.0,0.0001798219113974751,12100,COMPLETE
20,20,0.18114350000000012,2024-12-18 08:22:47.628067,2024-12-18 09:07:28.264952,0 days 00:44:40.636885,112,4,16.0,0.0008093718900917545,16700,COMPLETE
21,21,0.4590790000000001,2024-12-18 09:07:28.265461,2024-12-18 09:39:21.430754,0 days 00:31:53.165293,80,2,18.0,0.0002725205629601376,7500,COMPLETE
22,22,-0.4027345,2024-12-18 09:39:21.431263,2024-12-18 09:58:06.561960,0 days 00:18:45.130697,80,2,12.0,9.901804247864847e-05,4400,COMPLETE
23,23,1.0309584999999999,2024-12-18 09:58:06.562652,2024-12-18 10:36:22.212130,0 days 00:38:15.649478,96,1,15.0,0.0002488098420826256,8800,COMPLETE
24,24,0.4031944999999999,2024-12-18 10:36:22.212735,2024-12-18 11:15:54.702059,0 days 00:39:32.489324,112,1,15.0,4.4454011339705364e-05,10800,COMPLETE
25,25,-0.4869254999999999,2024-12-18 11:15:54.702545,2024-12-18 11:49:38.268580,0 days 00:33:43.566035,96,1,18.0,0.0005364283765145832,8800,COMPLETE
26,26,0.24838300000000002,2024-12-18 11:49:38.269180,2024-12-18 12:39:21.983141,0 days 00:49:43.713961,96,1,12.0,0.00175552430006196,11200,COMPLETE
27,27,0.6904440000000001,2024-12-18 12:39:21.983748,2024-12-18 15:28:01.129116,0 days 02:48:39.145368,64,3,14.0,0.0002074729384259048,18500,COMPLETE
28,28,1.085208,2024-12-18 15:28:01.131278,2024-12-18 16:54:09.790938,0 days 01:26:08.659660,80,2,19.0,2.615685689075921e-05,13600,COMPLETE
29,29,0.782364,2024-12-18 16:54:09.791489,2024-12-18 18:02:16.238747,0 days 01:08:06.447258,128,1,19.0,0.008027146642424161,14500,COMPLETE
30,30,0.2526625,2024-12-18 18:02:16.239205,2024-12-18 19:42:08.919263,0 days 01:39:52.680058,48,2,18.0,2.6341453050144313e-05,13000,COMPLETE
31,31,1.069736,2024-12-18 19:42:08.919739,2024-12-18 21:08:50.711984,0 days 01:26:41.792245,80,2,16.0,7.381231060905755e-05,15500,COMPLETE
32,32,0.607025,2024-12-18 21:08:50.712525,2024-12-18 22:42:08.577669,0 days 01:33:17.865144,80,2,16.0,7.241276838079608e-05,15700,COMPLETE
33,33,-0.09204349999999994,2024-12-18 22:42:08.578156,2024-12-19 00:07:18.652322,0 days 01:25:10.074166,64,1,19.0,2.5576914433999235e-05,11500,COMPLETE
34,34,-0.68584,2024-12-19 00:07:18.652847,2024-12-19 00:51:25.183347,0 days 00:44:06.530500,96,2,17.0,7.390643119124954e-05,9700,COMPLETE
35,35,0.8614495,2024-12-19 00:51:25.183855,2024-12-19 01:50:34.222983,0 days 00:59:09.039128,112,1,15.0,2.514173842714137e-05,13700,COMPLETE
36,36,-0.638646,2024-12-19 01:50:34.223477,2024-12-19 03:41:23.729495,0 days 01:50:49.506018,80,1,19.0,0.0021661241518993357,18200,COMPLETE
37,37,-0.5848735,2024-12-19 03:41:23.729977,2024-12-19 04:39:34.549977,0 days 00:58:10.820000,64,2,13.0,0.0004926795402479995,9800,COMPLETE
38,38,1.207616,2024-12-19 04:39:34.550507,2024-12-19 06:51:11.247208,0 days 02:11:36.696701,48,2,9.0,0.00011894424477494161,15700,COMPLETE
39,39,-0.7945734999999998,2024-12-19 06:51:11.248049,2024-12-19 09:19:57.702192,0 days 02:28:46.454143,48,2,8.0,0.0001203296142719833,15800,COMPLETE
40,40,0.8489635,2024-12-19 09:19:57.702659,2024-12-19 11:13:40.953211,0 days 01:53:43.250552,48,3,9.0,3.606694697158267e-05,14000,COMPLETE
41,41,-0.2627090000000001,2024-12-19 11:13:40.953668,2024-12-19 14:26:13.854157,0 days 03:12:32.900489,32,2,11.0,0.000270961158873863,15300,COMPLETE
42,42,0.7060735,2024-12-19 14:26:13.854907,2024-12-19 15:32:59.858111,0 days 01:06:46.003204,80,5,15.0,1.0100773288070457e-05,12100,COMPLETE
43,43,0.900404,2024-12-19 15:32:59.858605,2024-12-19 17:21:56.419958,0 days 01:48:56.561353,80,2,9.0,0.00011343119885022915,17600,COMPLETE
44,44,-0.5909369999999998,2024-12-19 17:21:56.420566,2024-12-19 19:35:49.118315,0 days 02:13:52.697749,48,1,13.0,1.7332996691880263e-05,12900,COMPLETE
45,45,0.8608010000000001,2024-12-19 19:35:49.118806,2024-12-19 21:23:51.059190,0 days 01:48:01.940384,64,3,17.0,6.87816354088346e-05,16300,COMPLETE
46,46,-0.05835200000000018,2024-12-19 21:23:51.059783,2024-12-19 22:41:30.104625,0 days 01:17:39.044842,96,2,6.0,0.00013985643489777076,14600,COMPLETE
47,47,0.044677499999999926,2024-12-19 22:41:30.105131,2024-12-20 00:14:39.079261,0 days 01:33:08.974130,48,1,20.0,0.000224124471318146,9000,COMPLETE
48,48,0.13352500000000012,2024-12-20 00:14:39.080001,2024-12-20 01:23:22.820988,0 days 01:08:43.740987,64,2,16.0,0.00034750558781246766,10300,COMPLETE
49,49,0.3847689999999999,2024-12-20 01:23:22.821482,2024-12-20 02:09:31.560715,0 days 00:46:08.739233,80,3,18.0,9.14653390361651e-05,7100,COMPLETE
