,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambd,params_latent_dim,params_max_beta,params_min_beta,params_num_epochs,params_tabsyn_lr,params_vae_epochs,params_vae_lr,params_wd,state
0,0,-8.0084,2024-12-17 13:43:06.141943,2024-12-17 13:56:23.339771,0 days 00:13:17.197828,256,0.8742721373771938,96,0.003054586131691868,7.9836028792537e-05,6000,0.0012337968579898828,2000,3.45303061448178e-05,2.0024953458751909e-07,COMPLETE
1,1,-0.350838,2024-12-17 13:56:23.340422,2024-12-17 14:02:38.450481,0 days 00:06:15.110059,448,0.25900930409270684,32,0.01582554733180418,4.1443501521865544e-05,4000,0.0004992830212856221,1000,1.660108099510524e-05,3.4297324635133717e-07,COMPLETE
2,2,0.9882790000000001,2024-12-17 14:02:38.451201,2024-12-17 14:11:53.177845,0 days 00:09:14.726644,64,0.6603084703823277,96,0.05377888288435046,4.1609608546777214e-05,4000,0.00937718304666519,2000,0.0003490600317554954,5.395570529438549e-06,COMPLETE
3,3,-1.5457204999999998,2024-12-17 14:11:53.178446,2024-12-17 14:19:50.942252,0 days 00:07:57.763806,320,0.7683249574174871,128,0.02125299859932303,3.163937991366198e-05,12000,0.0017493794026698514,1500,5.039207683740759e-05,3.7461395975819513e-07,COMPLETE
4,4,-1.2183595,2024-12-17 14:19:50.942916,2024-12-17 14:33:05.727374,0 days 00:13:14.784458,384,0.9786670371502355,96,0.003829868878717616,3.562139583006408e-05,6000,0.002613616032793249,3000,3.071249831121636e-05,5.124363587082974e-05,COMPLETE
5,5,1.1768265,2024-12-17 14:33:05.727938,2024-12-17 14:46:52.092662,0 days 00:13:46.364724,256,0.600057949216795,128,0.04304187078494576,2.5825173647040775e-05,4000,0.001003565245922607,2000,0.0007780070757900752,3.1455495689234344e-07,COMPLETE
6,6,-1.5570755,2024-12-17 14:46:52.093248,2024-12-17 14:51:46.220788,0 days 00:04:54.127540,192,0.27567173134946965,64,0.03526917457935489,1.8572895527581928e-05,4000,0.004962389938309181,2000,3.994063206767748e-05,7.102056448113979e-06,COMPLETE
7,7,-1.3575525,2024-12-17 14:51:46.221406,2024-12-17 15:00:58.752480,0 days 00:09:12.531074,512,0.29436250054075197,96,0.003424892910492977,3.895840683418869e-05,8000,0.0009084731327366679,500,1.2158491778861526e-05,2.6453674565090852e-06,COMPLETE
8,8,0.7399114999999998,2024-12-17 15:00:58.753056,2024-12-17 15:05:37.272376,0 days 00:04:38.519320,384,0.9362458995729945,32,0.022701621740790257,9.45973237554284e-05,8000,0.0004347210695593391,1000,0.0006971555852932344,1.1362603351957568e-05,COMPLETE
9,9,-1.815239,2024-12-17 15:05:37.272907,2024-12-17 15:11:48.812684,0 days 00:06:11.539777,384,0.6464452695721867,64,0.005700604222449631,0.0007387585424559914,12000,0.004589295683454583,2500,2.5458238952971172e-05,3.7016538325736804e-05,COMPLETE
