,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discriminator_dim,params_embedding_dim,params_epochs,params_generator_dim,params_learning_rate,state
0,0,0.2767949999999999,2024-11-27 15:13:43.935934,2024-11-27 15:15:22.771951,0 days 00:01:38.836017,192,"128,256,128",448,1400,"256,256",0.0061199852948038876,COMPLETE
1,1,0.3290029999999998,2024-11-27 15:15:22.772649,2024-11-27 15:15:51.696379,0 days 00:00:28.923730,256,"128,128",192,400,"128,128",8.143798201851597e-05,COMPLETE
2,2,-0.05625100000000005,2024-11-27 15:15:51.697036,2024-11-27 15:17:10.959673,0 days 00:01:19.262637,96,"128,128",448,600,"256,256",0.0026551772636322283,COMPLETE
3,3,0.6477275,2024-11-27 15:17:10.960371,2024-11-27 15:17:57.700517,0 days 00:00:46.740146,224,"128,128",320,1000,"128,128",0.004113014410133503,COMPLETE
4,4,-0.05013599999999996,2024-11-27 15:17:57.701177,2024-11-27 15:19:22.488574,0 days 00:01:24.787397,128,"128,256,128",128,800,"256,256",0.00033464149551852215,COMPLETE
5,5,0.12137850000000006,2024-11-27 15:19:22.489181,2024-11-27 15:20:49.605617,0 days 00:01:27.116436,192,"128,256,128",320,1200,"128,128",0.0008427932244114926,COMPLETE
6,6,0.28809300000000004,2024-11-27 15:20:49.606233,2024-11-27 15:22:10.596268,0 days 00:01:20.990035,192,"128,256,128",256,1000,"128,256,128",0.0006647059743354418,COMPLETE
7,7,0.32063150000000007,2024-11-27 15:22:10.596920,2024-11-27 15:23:49.985037,0 days 00:01:39.388117,192,"128,128",256,1400,"256,256",5.208857050118515e-05,COMPLETE
8,8,-0.3273014999999999,2024-11-27 15:23:49.985479,2024-11-27 15:25:37.271247,0 days 00:01:47.285768,96,"128,256,128",448,800,"128,128",0.0005255546166582258,COMPLETE
9,9,0.22302999999999995,2024-11-27 15:25:37.271838,2024-11-27 15:26:18.987997,0 days 00:00:41.716159,192,"128,128",256,400,"128,256,128",0.0008032781090234151,COMPLETE
10,10,0.6916229999999999,2024-11-27 15:26:18.988609,2024-11-27 15:27:35.753067,0 days 00:01:16.764458,256,"256,256",512,2000,"128,128",1.5091465714085236e-05,COMPLETE
11,11,0.55067,2024-11-27 15:27:35.753780,2024-11-27 15:28:50.636183,0 days 00:01:14.882403,256,"256,256",512,2000,"128,128",1.0264550692221576e-05,COMPLETE
12,12,0.2392120000000001,2024-11-27 15:28:50.636920,2024-11-27 15:30:07.680285,0 days 00:01:17.043365,256,"256,256",384,2000,"128,128",7.775358251899479e-05,COMPLETE
13,13,0.5765104999999999,2024-11-27 15:30:07.680899,2024-11-27 15:31:11.788550,0 days 00:01:04.107651,224,"256,256",320,1600,"128,128",0.009503266164945462,COMPLETE
14,14,0.056284,2024-11-27 15:31:11.789152,2024-11-27 15:32:18.298184,0 days 00:01:06.509032,224,"256,256",512,1800,"128,128",2.4646574173779036e-05,COMPLETE
15,15,-0.11858049999999998,2024-11-27 15:32:18.298848,2024-11-27 15:33:07.536852,0 days 00:00:49.238004,224,"128,128",384,1200,"128,128",0.0018962324284867063,COMPLETE
