,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambd,params_latent_dim,params_lr,params_max_beta,params_min_beta,params_num_epochs,params_vae_epochs,params_wd,state
0,0,0.728652,2024-12-04 17:26:05.588888,2024-12-04 17:45:08.541119,0 days 00:19:02.952231,384,0.51027370563581,96,0.0005302778970264992,0.0015924704507507888,2.647783892871258e-05,10000,2500,0.004863292840803839,COMPLETE
1,1,1.0938505,2024-12-04 17:45:08.542056,2024-12-04 17:56:04.305587,0 days 00:10:55.763531,192,0.9438980719077426,128,0.003747579553224007,0.03948831318678643,0.0006479596741653773,8000,1000,1.199940787536084e-08,COMPLETE
2,2,1.0240070000000001,2024-12-04 17:56:04.306441,2024-12-04 18:05:42.690949,0 days 00:09:38.384508,192,0.8057900885064335,96,0.001485397041291688,0.07524962885690488,4.071680933070335e-05,8000,1500,2.300397883986256e-10,COMPLETE
3,3,0.7825955,2024-12-04 18:05:42.691812,2024-12-04 18:12:22.265889,0 days 00:06:39.574077,512,0.8095223904908073,32,0.0012028476152768032,0.014907435549910286,0.0003268886090014343,12000,2000,3.8489714281390147e-10,COMPLETE
4,4,0.8958729999999999,2024-12-04 18:12:22.266403,2024-12-04 18:24:54.668499,0 days 00:12:32.402096,192,0.22050728087340865,128,0.004517899218677135,0.04988468078565412,0.00021398497932065825,12000,500,7.771924796299417e-09,COMPLETE
5,5,0.9796590000000001,2024-12-04 18:24:54.668993,2024-12-04 18:39:43.471879,0 days 00:14:48.802886,192,0.9554832133861872,96,0.0001382539455543019,0.028658015246087052,0.0001877664618217505,2000,500,1.1472820358468562e-08,COMPLETE
6,6,0.5301214999999999,2024-12-04 18:39:43.472884,2024-12-04 18:45:44.551844,0 days 00:06:01.078960,256,0.488700795604966,32,0.0038751691716770766,0.003281754069765402,0.0007599937002381707,12000,2000,4.89644161658514e-07,COMPLETE
7,7,0.9884364999999999,2024-12-04 18:45:44.552709,2024-12-04 18:54:36.352241,0 days 00:08:51.799532,384,0.7933212932734095,32,0.0005578984940889289,0.005750273241182314,0.00014919466033361226,10000,2000,1.3716915323024964e-08,COMPLETE
8,8,1.119129,2024-12-04 18:54:36.353092,2024-12-04 19:04:23.233968,0 days 00:09:46.880876,128,0.6960213310155342,128,0.006128133766671607,0.03410406071037736,0.00016601576830875767,2000,3000,0.0008932254193356088,COMPLETE
9,9,0.767871,2024-12-04 19:04:23.234970,2024-12-04 19:14:47.993798,0 days 00:10:24.758828,384,0.6526448397616103,64,0.0007247207703205967,0.0017643180309386852,0.00013177399066343444,8000,500,6.33474651183942e-08,COMPLETE
